,note,category_idx,category_name,season
283,"cupuacu, cupuassu, copoasu",2,fruits_vegetables_and_nuts,"[0, 2]"
284,curacao,11,beverages,"[0, 1, 2, 3]"
285,curcuma (turmeric),6,spices,"[2, 3]"
286,currant leaf and bud,2,fruits_vegetables_and_nuts,"[0, 2]"
287,curry tree,6,spices,"[2, 3]"
288,custard,7,sweets_and_gourmand_smells,[3]
289,cyclamen,3,flowers,"[0, 1, 2, 3]"
290,cyperus scariosus,2,fruits_vegetables_and_nuts,"[0, 2]"
291,cypress,8,woods_and_mosses,"[2, 3]"
292,cypriol oil or nagarmotha,8,woods_and_mosses,"[2, 3]"
293,dahlia,3,flowers,"[0, 1, 2, 3]"
294,daim,10,musk_amber_animalic_smells,"[2, 3]"
295,daiquiri,11,beverages,"[0, 1, 2, 3]"
296,daisy,3,flowers,"[0, 1, 2, 3]"
297,dandelion,3,flowers,"[0, 1, 2, 3]"
298,daphne,3,flowers,"[0, 1, 2, 3]"
299,dark chocolate,7,sweets_and_gourmand_smells,[3]
300,dates,7,sweets_and_gourmand_smells,[3]
301,datura,4,white_flowers,"[0, 2, 3]"
302,davana,5,greens_herbs_and_fougeres,"[1, 2]"
303,deadnettle,3,flowers,"[0, 1, 2, 3]"
304,delonix,3,flowers,"[0, 1, 2, 3]"
305,desert rose,3,flowers,"[0, 1, 2, 3]"
306,dew drop,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
307,dewberry,2,fruits_vegetables_and_nuts,"[0, 2]"
308,dianthus,3,flowers,"[0, 1, 2, 3]"
309,dill,6,spices,"[2, 3]"
310,dodecanal,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
311,dove tree,3,flowers,"[0, 1, 2, 3]"
312,dragon blood resin,9,resins_and_balsams,"[2, 3]"
313,dried apple crisp,2,fruits_vegetables_and_nuts,"[0, 2]"
314,dried apricot,2,fruits_vegetables_and_nuts,"[0, 2]"
315,dried fallen leaves,5,greens_herbs_and_fougeres,"[1, 2]"
316,dried fruits,2,fruits_vegetables_and_nuts,"[0, 2]"
317,dried rose,3,flowers,"[0, 1, 2, 3]"
318,driftwood,8,woods_and_mosses,"[2, 3]"
319,dry wood,8,woods_and_mosses,"[2, 3]"
320,dulce de leche,7,sweets_and_gourmand_smells,[3]
321,dyer's greenweed,3,flowers,"[0, 1, 2, 3]"
322,earl grey tea,5,greens_herbs_and_fougeres,"[1, 2]"
323,earth tincture,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
324,earthy notes,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
325,eau de vie,11,beverages,"[0, 1, 2, 3]"
326,ebony tree,8,woods_and_mosses,"[2, 3]"
327,edelweiss,3,flowers,"[0, 1, 2, 3]"
328,eglantine rose,3,flowers,"[0, 1, 2, 3]"
329,elderflower,3,flowers,"[0, 1, 2, 3]"
330,elemi,9,resins_and_balsams,"[2, 3]"
331,ember,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
332,encian,3,flowers,"[0, 1, 2, 3]"
333,english marigold,3,flowers,"[0, 1, 2, 3]"
